Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
514059,4.06,21,67.74,30651.2,217861.5,31,31,100.0,1401/01
515122,11.97,1,3.23,32644.9,117254.31,31,31,100.0,1401/01
805221,0.74,5,16.13,34049.8,18570.289,18,31,58.06,1401/01
301144,1.2,1,3.23,13119.5,2.64,31,31,100.0,1401/01
515530,11.07,5,16.13,193865.7,248740.01,31,31,100.0,1401/01
102799,5.92,2,6.45,75117.6,3837.47,31,31,100.0,1401/01
515565,6.52,3,9.68,16808.6,13592.61,31,31,100.0,1401/01
529109,35.56,26,83.87,80372.4,8366018.5,30,31,96.77,1401/01
529293,32.36,31,100.0,79388.0,9152365.4,31,31,100.0,1401/01
529119,9.12,1,3.23,36506.3,10196.7,31,31,100.0,1401/01
804989,6.15,7,22.58,202482.8,572726.1,31,31,100.0,1401/01
804990,2.14,7,22.58,140563.1,67553.92,27,31,87.1,1401/01
805637,5.02,3,9.68,2794.8,4200.517,31,31,100.0,1401/01
806067,0.59,3,9.68,14880.4,9.098,31,31,100.0,1401/01
514555,3.56,2,6.45,35878.9,47392.23,31,31,100.0,1401/01
529122,7.87,6,19.35,32212.9,162584.12,31,31,100.0,1401/01
514618,5.81,3,9.68,2050.7,2994.139,31,31,100.0,1401/01
519905,5.06,3,9.68,2730.9,1555.416,31,31,100.0,1401/01
529155,15.27,1,3.23,20526.8,34379.2,31,31,100.0,1401/01
516155,2.78,3,9.68,4557.1,7588.569,31,31,100.0,1401/01
805895,0.67,1,3.23,0.5,1.613,31,31,100.0,1401/01
529205,23.53,1,3.23,3725.6,13319.11,15,31,48.39,1401/01
603246,20.16,2,6.45,80788.0,10593.2,31,31,100.0,1401/01
912936,0.3,1,3.23,,0.37,31,31,100.0,1401/01
604175,12.06,5,16.13,4426.5,32116.123,31,31,100.0,1401/01
515074,4.44,13,41.94,170510.9,289356.1,31,31,100.0,1401/01
603108,17.89,1,3.23,43811.8,12055.08,31,31,100.0,1401/01
514763,3.8,3,9.68,227544.0,244605.19,31,31,100.0,1401/01
515678,23.09,7,22.58,72453.7,259398.79,31,31,100.0,1401/01
529150,11.64,28,90.32,54889.4,660033.35,31,31,100.0,1401/01
529066,22.47,4,12.9,507458.7,760887.6,31,31,100.0,1401/01
805671,0.75,1,3.23,1780.1,52.934,31,31,100.0,1401/01
529336,2.07,1,3.23,300.4,-180119.9,10,31,32.26,1401/01
514321,16.12,2,6.45,27959.1,19900.0,31,31,100.0,1401/01
911146,1.93,1,3.23,19843.6,184.217,31,31,100.0,1401/01
606007,32.92,1,3.23,9903.0,83242.62,31,31,100.0,1401/01
603405,1.84,1,3.23,221339.5,9417.38,31,31,100.0,1401/01
606009,26.19,1,3.23,22423.7,6843.19,31,31,100.0,1401/01
514901,5.15,17,54.84,590763.8,1477465.5,31,31,100.0,1401/01
606010,18.21,5,16.13,60869.3,60545.68,31,31,100.0,1401/01
514017,31.69,1,3.23,98387.3,809564.2,31,31,100.0,1401/01
516620,388.24,20,64.52,2523.2,-234140.42,31,31,100.0,1401/01
518510,0.73,3,9.68,240.2,940.314,31,31,100.0,1401/01
602603,3.72,2,6.45,51411.0,20656.805,31,31,100.0,1401/01
601283,19.67,1,3.23,111847.2,46255.4,31,31,100.0,1401/01
516352,9.89,1,3.23,81256.0,194094.2,31,31,100.0,1401/01
514088,8.53,1,3.23,43559.8,17909.53,31,31,100.0,1401/01
517715,8.5,1,3.23,16759.6,20308.28,31,31,100.0,1401/01
514667,13.83,3,9.68,70349.9,83331.78,31,31,100.0,1401/01
514813,12.16,1,3.23,13749.9,103776.81,31,31,100.0,1401/01
514660,9.24,8,25.81,121987.1,467123.5,31,31,100.0,1401/01
514097,17.88,6,19.35,108575.2,545358.95,31,31,100.0,1401/01
517925,1.3,1,3.23,,-13.292,31,31,100.0,1401/01
604034,2.47,2,6.45,10920.6,554.7,31,31,100.0,1401/01
601009,4.41,1,3.23,5089.0,1046.86,31,31,100.0,1401/01
444443,10.48,6,19.35,124009.2,944884.6,31,31,100.0,1401/01
529124,4.37,3,9.68,2426859.8,422950.5,31,31,100.0,1401/01
805663,2.59,1,3.23,27915.2,28362.986,31,31,100.0,1401/01
518735,2.29,1,3.23,176.9,224.936,31,31,100.0,1401/01
618307,0.92,1,3.23,,30.37,31,31,100.0,1401/01
526064,0.95,1,3.23,19099.4,417.66,31,31,100.0,1401/01
517628,0.85,3,9.68,23785.7,157.43,31,31,100.0,1401/01
604801,1.0,1,3.23,4244.5,29.286,31,31,100.0,1401/01
805172,0.6,3,9.68,16623.7,18960.51,31,31,100.0,1401/01
804571,22.7,1,3.23,87070.2,263978.9,31,31,100.0,1401/01
516108,0.45,1,3.23,27120.2,20526.6,31,31,100.0,1401/01
529018,27.17,1,3.23,15631.9,231026.52,31,31,100.0,1401/01
604893,2.94,11,35.48,215435.9,208030.1,31,31,100.0,1401/01
529146,8.23,1,3.23,375879.5,21575.1,31,31,100.0,1401/01
604653,0.85,1,3.23,3693.0,178.518,31,31,100.0,1401/01
615171,0.86,1,3.23,11863.8,7638.802,31,31,100.0,1401/01
603087,11.33,1,3.23,18573.4,147518.17,31,31,100.0,1401/01
603051,4.12,4,12.9,54490.3,414153.1,31,31,100.0,1401/01
514311,8.32,1,3.23,3125.9,14427.115,31,31,100.0,1401/01
515022,0.4,1,3.23,861.5,0.307,31,31,100.0,1401/01
529014,8.37,3,9.68,319391.3,390216.1,31,31,100.0,1401/01
519465,0.4,2,6.45,65393.1,8.53,31,31,100.0,1401/01
514943,0.52,2,6.45,608561.4,181770.68,31,31,100.0,1401/01
518141,2.34,4,12.9,176525.0,1619.82,31,31,100.0,1401/01
515467,1.8,4,12.9,293.6,355.586,31,31,100.0,1401/01
518705,2.19,1,3.23,12044.7,4688.517,31,31,100.0,1401/01
516091,0.5,1,3.23,268.7,0.0,31,31,100.0,1401/01
615771,1.13,1,3.23,900.8,269.408,31,31,100.0,1401/01
615123,0.22,2,6.45,4540.0,111.054,31,31,100.0,1401/01
607069,12.24,3,9.68,6.5,304.59,31,31,100.0,1401/01
805347,1.26,3,9.68,131071.0,188187.91,31,31,100.0,1401/01
618310,0.44,7,22.58,4550.5,-5.43,31,31,100.0,1401/01
519313,0.88,1,3.23,10783.6,10704.532,31,31,100.0,1401/01
514421,2.62,4,12.9,8849.6,-108.7,31,31,100.0,1401/01
604294,4.61,1,3.23,15971.0,1628.617,31,31,100.0,1401/01
603131,14.38,1,3.23,96779.0,185135.6,31,31,100.0,1401/01
514563,11.39,5,16.13,589569.8,23036.9,31,31,100.0,1401/01
514564,6.96,15,48.39,569808.0,4081921.1,31,31,100.0,1401/01
515805,3.05,1,3.23,38988.8,119997.3,31,31,100.0,1401/01
604779,3.34,2,6.45,5107.8,8899.329,31,31,100.0,1401/01
518972,4.15,1,3.23,894.2,1918.024,29,31,93.55,1401/01
805896,2.74,1,3.23,54848.6,2236.33,31,31,100.0,1401/01
519047,4.0,1,3.23,3056.7,1780.189,31,31,100.0,1401/01
603351,1.2,1,3.23,0.5,2.753,15,31,48.39,1401/01
911898,2.41,2,6.45,5860.0,540.885,31,31,100.0,1401/01
514051,2.53,1,3.23,245.3,392.404,31,31,100.0,1401/01
107240,2.05,2,6.45,193297.3,311598.01,21,31,67.74,1401/01
514699,3.27,13,41.94,595873.8,1867905.7,31,31,100.0,1401/01
514604,3.48,7,22.58,368006.5,433395.73,31,31,100.0,1401/01
805645,3.22,2,6.45,1360.5,546.944,31,31,100.0,1401/01
514259,5.47,4,12.9,3715.8,3532.951,31,31,100.0,1401/01
911729,0.33,2,6.45,33202.1,35857.95,31,31,100.0,1401/01
603341,11.9,12,38.71,244754.6,2433986.9,31,31,100.0,1401/01
515626,11.79,15,48.39,23754.6,153060.74,31,31,100.0,1401/01
805646,1.36,1,3.23,756.1,581.043,31,31,100.0,1401/01
603277,16.41,1,3.23,41941.8,40777.1,31,31,100.0,1401/01
513475,3.85,1,3.23,3123.1,21.46,31,31,100.0,1401/01
603044,21.65,2,6.45,770.7,87.603,28,31,90.32,1401/01
519996,1.82,1,3.23,79.3,78.762,31,31,100.0,1401/01
518054,1.75,1,3.23,1499.5,8091.356,31,31,100.0,1401/01
107145,8.8,6,19.35,189616.8,90367.16,31,31,100.0,1401/01
107149,9.17,6,19.35,88644.8,454124.26,31,31,100.0,1401/01
529307,5.5,1,3.23,87886.4,10552.87,30,31,96.77,1401/02
514059,2.79,16,51.61,44638.0,234057.64,31,31,100.0,1401/02
515122,11.51,2,6.45,109032.6,285727.4,31,31,100.0,1401/02
605058,4.95,3,9.68,56236.8,67869.06,31,31,100.0,1401/02
209268,3.33,1,3.23,18612.6,4423.62,31,31,100.0,1401/02
515530,6.73,8,25.81,430336.0,259822.58,31,31,100.0,1401/02
102799,6.12,1,3.23,21109.7,3914.63,31,31,100.0,1401/02
517913,2.8,1,3.23,4222.5,14486.81,26,31,83.87,1401/02
529293,28.24,24,77.42,91183.2,6192674.2,31,31,100.0,1401/02
514845,18.4,1,3.23,243877.3,707241.0,31,31,100.0,1401/02
529119,7.34,2,6.45,63018.7,208619.9,31,31,100.0,1401/02
804989,8.73,9,29.03,132405.0,744588.8,31,31,100.0,1401/02
804990,2.18,4,12.9,273683.1,172233.9,24,31,77.42,1401/02
805637,25.07,1,3.23,10642.1,61914.672,31,31,100.0,1401/02
806067,0.71,1,3.23,17681.3,4823.126,31,31,100.0,1401/02
608234,1.05,1,3.23,12.5,94.797,17,31,54.84,1401/02
529013,15.41,1,3.23,2517653.9,697183.5,31,31,100.0,1401/02
517495,9.5,4,12.9,32091.5,127456.59,31,31,100.0,1401/02
515961,0.62,1,3.23,0.2,75.631,21,31,67.74,1401/02
805895,0.78,2,6.45,,2.332,31,31,100.0,1401/02
514968,12.03,1,3.23,12632.4,63655.67,31,31,100.0,1401/02
603246,25.2,1,3.23,98048.0,41940.1,31,31,100.0,1401/02
529339,18.47,1,3.23,125138.3,3713.9,3,31,9.68,1401/02
515074,6.82,3,9.68,33678.9,87379.4,31,31,100.0,1401/02
603043,13.86,1,3.23,10092.5,199.636,31,31,100.0,1401/02
515678,28.18,2,6.45,272181.4,213736.15,31,31,100.0,1401/02
301121,46.71,2,6.45,114780.8,424370.11,31,31,100.0,1401/02
529150,9.21,21,67.74,4011.9,62348.209,31,31,100.0,1401/02
529066,25.83,4,12.9,495208.5,3180679.3,31,31,100.0,1401/02
515023,3.84,2,6.45,3977.7,4702.094,31,31,100.0,1401/02
529176,15.38,1,3.23,418436.1,2445685.6,31,31,100.0,1401/02
603275,2.08,1,3.23,790.7,1321.104,31,31,100.0,1401/02
601426,1.34,1,3.23,165278.2,136213.62,31,31,100.0,1401/02
529021,10.94,1,3.23,204918.1,27237.0,31,31,100.0,1401/02
529161,1.01,4,12.9,2851035.6,378118.4,31,31,100.0,1401/02
517235,0.42,3,9.68,34.2,-14.428,7,31,22.58,1401/02
516265,0.47,2,6.45,18115.6,218.874,31,31,100.0,1401/02
516579,7.46,4,12.9,143519.3,300321.6,31,31,100.0,1401/02
103226,2.74,6,19.35,64805.5,77474.74,31,31,100.0,1401/02
805246,2.51,1,3.23,9171.4,666.225,31,31,100.0,1401/02
529392,29.09,1,3.23,114198.6,347009.4,31,31,100.0,1401/02
604203,3.88,1,3.23,12105.6,8637.29,31,31,100.0,1401/02
805264,0.86,1,3.23,71546.6,1473.22,31,31,100.0,1401/02
603405,2.04,1,3.23,160927.2,91077.74,27,31,87.1,1401/02
514901,3.53,25,80.65,813100.0,4353552.5,31,31,100.0,1401/02
606010,31.82,2,6.45,22919.4,45465.54,31,31,100.0,1401/02
514017,27.42,4,12.9,336084.6,890750.4,31,31,100.0,1401/02
516095,0.3,2,6.45,32.7,5.257,7,31,22.58,1401/02
516620,761.56,22,70.97,165.4,-453221.9,31,31,100.0,1401/02
212153,0.2,2,6.45,98.9,147.982,2,31,6.45,1401/02
530865,1.45,3,9.68,12158.1,410.1,31,31,100.0,1401/02
514494,36.42,3,9.68,16985.0,40058.63,31,31,100.0,1401/02
602603,15.8,2,6.45,43613.6,65686.13,31,31,100.0,1401/02
516353,9.25,1,3.23,157918.1,18618.7,31,31,100.0,1401/02
516380,5.03,1,3.23,39877.2,48769.53,31,31,100.0,1401/02
516370,12.72,1,3.23,48728.0,22091.5,31,31,100.0,1401/02
514660,6.37,7,22.58,141087.5,556758.63,31,31,100.0,1401/02
514656,3.0,5,16.13,98329.9,97692.35,31,31,100.0,1401/02
514097,2.13,29,93.55,607077.1,2523954.97,29,31,93.55,1401/02
618399,2.6,1,3.23,228.7,588.377,31,31,100.0,1401/02
604034,2.65,7,22.58,22182.4,15703.65,31,31,100.0,1401/02
601009,3.0,1,3.23,3683.7,35.74,31,31,100.0,1401/02
444441,9.09,1,3.23,1594934.6,7197.9,31,31,100.0,1401/02
444443,12.45,1,3.23,67497.6,213215.0,31,31,100.0,1401/02
529124,1.17,7,22.58,3703463.0,416073.9,31,31,100.0,1401/02
805663,2.43,1,3.23,22981.2,9999.593,31,31,100.0,1401/02
519093,1.1,1,3.23,11.9,91.27,6,31,19.35,1401/02
518735,2.41,1,3.23,5304.7,273.777,31,31,100.0,1401/02
912528,8.12,1,3.23,16115.3,3449.39,31,31,100.0,1401/02
516771,1.08,1,3.23,144665.8,2771.02,31,31,100.0,1401/02
516834,3.16,5,16.13,26495.8,15612.72,31,31,100.0,1401/02
604472,3.71,1,3.23,148.2,382.744,31,31,100.0,1401/02
100515,2.8,1,3.23,22.6,340.052,31,31,100.0,1401/02
804571,23.5,1,3.23,55789.3,275062.7,31,31,100.0,1401/02
514565,10.79,1,3.23,5954.5,28021.88,31,31,100.0,1401/02
516108,0.35,1,3.23,34651.6,20527.77,17,31,54.84,1401/02
529547,2.04,2,6.45,24804.0,97.427,31,31,100.0,1401/02
604893,3.82,6,19.35,85136.6,81801.42,31,31,100.0,1401/02
524216,0.85,1,3.23,485.0,10.704,31,31,100.0,1401/02
515009,37.28,1,3.23,98653.6,4933.5,31,31,100.0,1401/02
529382,6.66,4,12.9,111095.0,253629.52,31,31,100.0,1401/02
529012,25.6,1,3.23,164634.7,53932.7,31,31,100.0,1401/02
608686,7.14,5,16.13,29102.3,53537.92,31,31,100.0,1401/02
515478,8.45,8,25.81,109.5,-3451.866,31,31,100.0,1401/02
514922,3.94,7,22.58,351.6,-1010.552,31,31,100.0,1401/02
529014,8.27,8,25.81,289011.1,1220010.8,30,31,96.77,1401/02
519465,0.54,2,6.45,66810.0,9.86,31,31,100.0,1401/02
514943,0.44,5,16.13,870833.3,60691.42,31,31,100.0,1401/02
529169,19.45,1,3.23,60225.3,34178.0,31,31,100.0,1401/02
514606,2.62,1,3.23,37320.8,669.137,31,31,100.0,1401/02
515467,0.83,4,12.9,359.5,297.991,31,31,100.0,1401/02
516091,0.4,1,3.23,63.7,465.955,31,31,100.0,1401/02
615123,0.16,2,6.45,4886.6,93.347,31,31,100.0,1401/02
805347,0.53,6,19.35,172052.6,206891.99,31,31,100.0,1401/02
618310,0.47,2,6.45,,0.95,31,31,100.0,1401/02
519313,0.52,1,3.23,13666.6,10.9,31,31,100.0,1401/02
514421,13.1,8,25.81,224061.3,923969.2,31,31,100.0,1401/02
529087,21.02,1,3.23,1507162.9,52806.7,31,31,100.0,1401/02
514255,11.07,11,35.48,2392.0,78555.11,13,31,41.94,1401/02
514564,9.8,1,3.23,510631.8,356859.8,15,31,48.39,1401/02
604779,2.49,4,12.9,8294.0,13638.287,31,31,100.0,1401/02
601122,0.54,1,3.23,2089.6,364.638,31,31,100.0,1401/02
514051,1.84,3,9.68,2128.7,674.406,31,31,100.0,1401/02
514699,3.65,6,19.35,215253.3,487396.5,31,31,100.0,1401/02
541975,0.48,3,9.68,-2207.8,-80.01,7,31,22.58,1401/02
514259,6.4,4,12.9,6424.9,428.184,31,31,100.0,1401/02
804859,0.32,2,6.45,23.5,51.15,7,31,22.58,1401/02
805646,1.31,1,3.23,1977.0,733.935,31,31,100.0,1401/02
514700,1.32,2,6.45,12.4,11.286,31,31,100.0,1401/02
525860,0.4,2,6.45,25.8,0.621,7,31,22.58,1401/02
540710,5.07,2,6.45,2482.2,9264.867,31,31,100.0,1401/02
518328,1.27,1,3.23,338.9,252.83,30,31,96.77,1401/02
518054,1.3,1,3.23,8182.8,16204.989,31,31,100.0,1401/02
107149,22.81,1,3.23,31826.9,86138.82,31,31,100.0,1401/02
107143,19.85,4,12.9,249620.6,434101.1,31,31,100.0,1401/02
514711,18.32,1,3.23,13121.3,16617.65,31,31,100.0,1401/03
515530,9.14,1,3.23,28746.4,23610.71,31,31,100.0,1401/03
200934,19.81,3,9.68,285228.4,39122.5,31,31,100.0,1401/03
515565,6.73,2,6.45,28693.0,81934.96,31,31,100.0,1401/03
529119,8.37,1,3.23,44205.8,15288.5,31,31,100.0,1401/03
804990,3.03,8,25.81,259967.6,142662.59,31,31,100.0,1401/03
806067,0.87,1,3.23,4707.4,2544.327,31,31,100.0,1401/03
529079,17.87,2,6.45,112850.6,410868.9,31,31,100.0,1401/03
541983,1.45,1,3.23,34.9,21.691,6,31,19.35,1401/03
529013,17.6,1,3.23,370611.7,35603.5,31,31,100.0,1401/03
805353,3.98,1,3.23,30955.4,33858.08,23,31,74.19,1401/03
519905,0.57,1,3.23,745.5,20.929,31,31,100.0,1401/03
529107,29.96,1,3.23,82385.8,475598.5,31,31,100.0,1401/03
805895,0.57,1,3.23,1.0,1.668,31,31,100.0,1401/03
604729,2.27,2,6.45,5284.5,1610.06,31,31,100.0,1401/03
601559,1.38,2,6.45,4680.8,1171.88,31,31,100.0,1401/03
519747,3.91,1,3.23,14759.1,1051.36,31,31,100.0,1401/03
529205,18.37,1,3.23,48675.7,20776.46,31,31,100.0,1401/03
518044,0.49,1,3.23,18051.3,4885.905,31,31,100.0,1401/03
301121,41.33,3,9.68,43686.0,41524.83,31,31,100.0,1401/03
529150,11.76,31,100.0,2424.4,-31281.358,31,31,100.0,1401/03
529336,2.05,2,6.45,125.2,-1.789,31,31,100.0,1401/03
529161,1.24,22,70.97,1980618.7,5666514.5,31,31,100.0,1401/03
103226,1.28,10,32.26,96130.8,107588.52,31,31,100.0,1401/03
102531,6.22,2,6.45,66506.5,70236.31,31,31,100.0,1401/03
910902,2.97,3,9.68,170569.9,49590.24,31,31,100.0,1401/03
606010,30.0,1,3.23,1.0,-104.63,31,31,100.0,1401/03
514017,27.08,5,16.13,252608.5,1758482.2,31,31,100.0,1401/03
516620,760.4,19,61.29,825.8,-255327.1,31,31,100.0,1401/03
530865,2.35,2,6.45,3295.4,1500.52,31,31,100.0,1401/03
516691,0.96,1,3.23,19235.7,63.055,31,31,100.0,1401/03
529650,1.5,1,3.23,1394.7,1825.065,31,31,100.0,1401/03
805853,3.39,1,3.23,491.7,260.662,31,31,100.0,1401/03
517930,8.7,1,3.23,87207.1,21825.5,31,31,100.0,1401/03
516355,5.31,1,3.23,47723.8,6554.47,31,31,100.0,1401/03
516353,9.66,1,3.23,78608.6,23815.9,31,31,100.0,1401/03
514094,8.69,1,3.23,302796.7,16270.35,31,31,100.0,1401/03
517921,1.26,1,3.23,8603.5,12.9,31,31,100.0,1401/03
514660,1.77,7,22.58,4108.7,-74340.513,31,31,100.0,1401/03
514097,1.2,31,100.0,676070.2,2920623.78,31,31,100.0,1401/03
517925,2.4,1,3.23,,-39.101,31,31,100.0,1401/03
514441,26.05,2,6.45,586225.8,358069.6,31,31,100.0,1401/03
529124,2.87,2,6.45,1971366.9,4133.4,31,31,100.0,1401/03
805663,1.99,2,6.45,80447.7,21116.8,31,31,100.0,1401/03
603636,0.2,1,3.23,,207.25,24,31,77.42,1401/03
912918,3.41,1,3.23,92306.6,2801.47,31,31,100.0,1401/03
518735,2.25,1,3.23,899.2,370.051,31,31,100.0,1401/03
517968,0.33,1,3.23,5.1,13.241,5,31,16.13,1401/03
603238,1.0,3,9.68,41.3,24.781,31,31,100.0,1401/03
516834,3.5,2,6.45,32788.4,25124.89,31,31,100.0,1401/03
517628,0.25,1,3.23,5218.2,1.301,31,31,100.0,1401/03
804571,22.22,2,6.45,89573.1,40673.4,31,31,100.0,1401/03
515009,36.24,1,3.23,76513.8,11276.5,31,31,100.0,1401/03
514588,22.22,3,9.68,186147.2,37448.298,31,31,100.0,1401/03
529012,15.35,8,25.81,728930.2,1033456.2,31,31,100.0,1401/03
529099,0.85,1,3.23,5779.6,52.263,31,31,100.0,1401/03
515478,9.47,31,100.0,1267.3,-23369.424,31,31,100.0,1401/03
514922,3.04,14,45.16,2137.1,-1991.012,31,31,100.0,1401/03
529014,7.12,9,29.03,1212298.4,1640799.5,31,31,100.0,1401/03
518141,2.74,1,3.23,1075078.9,2388.94,31,31,100.0,1401/03
515467,1.87,1,3.23,40.7,109.106,31,31,100.0,1401/03
615123,0.39,3,9.68,11017.1,91.381,31,31,100.0,1401/03
805876,1.22,1,3.23,1030.0,64.667,31,31,100.0,1401/03
805347,0.84,5,16.13,150637.4,169945.81,31,31,100.0,1401/03
514255,9.21,14,45.16,2372.0,75827.553,31,31,100.0,1401/03
517446,0.2,1,3.23,4.0,2.91,1,31,3.23,1401/03
804310,2.91,4,12.9,804.7,297.454,31,31,100.0,1401/03
517400,0.4,1,3.23,2.2,3.115,1,31,3.23,1401/03
911408,0.41,1,3.23,1273.5,9.274,31,31,100.0,1401/03
515672,2.49,3,9.68,3685.8,1793.482,22,31,70.97,1401/03
805708,0.1,1,3.23,12.6,4.521,1,31,3.23,1401/03
514699,1.99,12,38.71,358686.0,1450572.4,31,31,100.0,1401/03
516876,0.3,1,3.23,329.3,355.684,1,31,3.23,1401/03
516476,1.4,1,3.23,2655.2,3.587,31,31,100.0,1401/03
514259,3.61,7,22.58,20410.2,2292.494,31,31,100.0,1401/03
518127,0.5,1,3.23,9.5,1.618,31,31,100.0,1401/03
517124,2.08,1,3.23,60275.1,5210.29,31,31,100.0,1401/03
602588,1.61,4,12.9,653.0,743.062,31,31,100.0,1401/03
529193,1.24,7,22.58,11809.1,3228.05,31,31,100.0,1401/03
100507,0.41,2,6.45,1350.3,16.852,31,31,100.0,1401/03
540710,5.75,4,12.9,2900.9,23071.397,31,31,100.0,1401/03
107149,18.87,3,9.68,45723.8,100257.23,31,31,100.0,1401/03
602411,1.88,1,3.23,5031.6,1136.184,31,31,100.0,1401/04
515565,6.53,2,6.45,29632.1,4939.87,31,31,100.0,1401/04
804990,2.31,7,22.58,111682.9,107196.1,31,31,100.0,1401/04
806067,0.79,1,3.23,5240.0,84.41,31,31,100.0,1401/04
529079,18.74,1,3.23,84932.9,49361.1,31,31,100.0,1401/04
910813,8.59,2,6.45,63.0,1452.368,31,31,100.0,1401/04
529108,21.83,1,3.23,165459.6,44755.7,31,31,100.0,1401/04
515961,0.6,1,3.23,37.0,6.787,31,31,100.0,1401/04
