,location,date,time,tempC,windspeedKmph,humidity
0,"Mashhad, Iran",2024-07-01,0,23,6,33
1,"Mashhad, Iran",2024-07-01,300,22,9,36
2,"Mashhad, Iran",2024-07-01,600,23,11,36
3,"Mashhad, Iran",2024-07-01,900,26,15,31
4,"Mashhad, Iran",2024-07-01,1200,29,26,27
5,"Mashhad, Iran",2024-07-01,1500,29,31,26
6,"Mashhad, Iran",2024-07-01,1800,26,27,30
7,"Mashhad, Iran",2024-07-01,2100,24,18,32
8,"Mashhad, Iran",2024-07-02,0,22,7,35
9,"Mashhad, Iran",2024-07-02,300,20,3,38
10,"Mashhad, Iran",2024-07-02,600,23,12,32
11,"Mashhad, Iran",2024-07-02,900,27,17,24
12,"Mashhad, Iran",2024-07-02,1200,30,25,17
13,"Mashhad, Iran",2024-07-02,1500,31,27,15
14,"Mashhad, Iran",2024-07-02,1800,28,24,17
15,"Mashhad, Iran",2024-07-02,2100,25,14,18
16,"Mashhad, Iran",2024-07-03,0,23,8,20
17,"Mashhad, Iran",2024-07-03,300,20,7,22
18,"Mashhad, Iran",2024-07-03,600,23,11,19
19,"Mashhad, Iran",2024-07-03,900,28,13,15
20,"Mashhad, Iran",2024-07-03,1200,32,20,11
21,"Mashhad, Iran",2024-07-03,1500,32,26,11
22,"Mashhad, Iran",2024-07-03,1800,29,22,14
23,"Mashhad, Iran",2024-07-03,2100,27,8,17
24,"Mashhad, Iran",2024-07-04,0,23,1,20
25,"Mashhad, Iran",2024-07-04,300,22,4,20
26,"Mashhad, Iran",2024-07-04,600,26,5,17
27,"Mashhad, Iran",2024-07-04,900,30,9,13
28,"Mashhad, Iran",2024-07-04,1200,34,24,11
29,"Mashhad, Iran",2024-07-04,1500,34,28,12
30,"Mashhad, Iran",2024-07-04,1800,31,23,15
31,"Mashhad, Iran",2024-07-04,2100,28,12,19
32,"Mashhad, Iran",2024-07-05,0,26,8,20
33,"Mashhad, Iran",2024-07-05,300,24,1,22
34,"Mashhad, Iran",2024-07-05,600,28,4,17
35,"Mashhad, Iran",2024-07-05,900,31,12,14
36,"Mashhad, Iran",2024-07-05,1200,34,29,12
37,"Mashhad, Iran",2024-07-05,1500,34,35,13
38,"Mashhad, Iran",2024-07-05,1800,31,27,16
39,"Mashhad, Iran",2024-07-05,2100,28,26,22
40,"Mashhad, Iran",2024-07-06,0,26,17,25
41,"Mashhad, Iran",2024-07-06,300,22,7,28
42,"Mashhad, Iran",2024-07-06,600,26,9,23
43,"Mashhad, Iran",2024-07-06,900,30,17,19
44,"Mashhad, Iran",2024-07-06,1200,33,18,13
45,"Mashhad, Iran",2024-07-06,1500,34,30,12
46,"Mashhad, Iran",2024-07-06,1800,29,32,16
47,"Mashhad, Iran",2024-07-06,2100,27,18,20
48,"Mashhad, Iran",2024-07-07,0,25,14,19
49,"Mashhad, Iran",2024-07-07,300,23,13,21
50,"Mashhad, Iran",2024-07-07,600,26,15,17
51,"Mashhad, Iran",2024-07-07,900,29,16,16
52,"Mashhad, Iran",2024-07-07,1200,32,20,13
53,"Mashhad, Iran",2024-07-07,1500,33,31,14
54,"Mashhad, Iran",2024-07-07,1800,30,30,21
55,"Mashhad, Iran",2024-07-07,2100,28,19,25
56,"Mashhad, Iran",2024-07-08,0,25,8,25
57,"Mashhad, Iran",2024-07-08,300,24,9,26
58,"Mashhad, Iran",2024-07-08,600,27,13,22
59,"Mashhad, Iran",2024-07-08,900,31,15,16
60,"Mashhad, Iran",2024-07-08,1200,34,19,13
61,"Mashhad, Iran",2024-07-08,1500,35,24,12
62,"Mashhad, Iran",2024-07-08,1800,31,29,15
63,"Mashhad, Iran",2024-07-08,2100,28,8,20
64,"Mashhad, Iran",2024-07-09,0,26,14,26
65,"Mashhad, Iran",2024-07-09,300,23,3,33
66,"Mashhad, Iran",2024-07-09,600,27,0,28
67,"Mashhad, Iran",2024-07-09,900,30,7,22
68,"Mashhad, Iran",2024-07-09,1200,33,9,18
69,"Mashhad, Iran",2024-07-09,1500,35,27,17
70,"Mashhad, Iran",2024-07-09,1800,31,31,20
71,"Mashhad, Iran",2024-07-09,2100,28,13,23
72,"Mashhad, Iran",2024-07-10,0,25,10,27
73,"Mashhad, Iran",2024-07-10,300,23,1,31
74,"Mashhad, Iran",2024-07-10,600,27,1,25
75,"Mashhad, Iran",2024-07-10,900,31,6,20
76,"Mashhad, Iran",2024-07-10,1200,34,6,17
77,"Mashhad, Iran",2024-07-10,1500,36,27,15
78,"Mashhad, Iran",2024-07-10,1800,32,29,18
79,"Mashhad, Iran",2024-07-10,2100,29,16,23
80,"Mashhad, Iran",2024-07-11,0,26,2,29
81,"Mashhad, Iran",2024-07-11,300,24,3,31
82,"Mashhad, Iran",2024-07-11,600,28,4,25
83,"Mashhad, Iran",2024-07-11,900,31,8,20
84,"Mashhad, Iran",2024-07-11,1200,34,9,16
85,"Mashhad, Iran",2024-07-11,1500,36,18,13
86,"Mashhad, Iran",2024-07-11,1800,32,30,16
87,"Mashhad, Iran",2024-07-11,2100,29,17,17
88,"Mashhad, Iran",2024-07-12,0,28,13,20
89,"Mashhad, Iran",2024-07-12,300,26,15,20
90,"Mashhad, Iran",2024-07-12,600,29,13,18
91,"Mashhad, Iran",2024-07-12,900,32,14,16
92,"Mashhad, Iran",2024-07-12,1200,34,14,15
93,"Mashhad, Iran",2024-07-12,1500,33,14,18
94,"Mashhad, Iran",2024-07-12,1800,31,30,25
95,"Mashhad, Iran",2024-07-12,2100,26,13,40
96,"Mashhad, Iran",2024-07-13,0,24,12,46
97,"Mashhad, Iran",2024-07-13,300,23,15,47
98,"Mashhad, Iran",2024-07-13,600,25,19,43
99,"Mashhad, Iran",2024-07-13,900,28,5,33
100,"Mashhad, Iran",2024-07-13,1200,30,6,28
101,"Mashhad, Iran",2024-07-13,1500,29,6,30
102,"Mashhad, Iran",2024-07-13,1800,29,18,29
103,"Mashhad, Iran",2024-07-13,2100,26,7,38
104,"Mashhad, Iran",2024-07-14,0,24,3,40
105,"Mashhad, Iran",2024-07-14,300,23,8,39
106,"Mashhad, Iran",2024-07-14,600,25,12,29
107,"Mashhad, Iran",2024-07-14,900,28,15,25
108,"Mashhad, Iran",2024-07-14,1200,32,12,21
109,"Mashhad, Iran",2024-07-14,1500,33,14,19
110,"Mashhad, Iran",2024-07-14,1800,29,16,18
111,"Mashhad, Iran",2024-07-14,2100,25,6,26
112,"Mashhad, Iran",2024-07-15,0,23,4,25
113,"Mashhad, Iran",2024-07-15,300,20,3,23
114,"Mashhad, Iran",2024-07-15,600,23,1,21
115,"Mashhad, Iran",2024-07-15,900,26,2,18
116,"Mashhad, Iran",2024-07-15,1200,29,9,15
117,"Mashhad, Iran",2024-07-15,1500,31,8,15
118,"Mashhad, Iran",2024-07-15,1800,28,30,22
119,"Mashhad, Iran",2024-07-15,2100,24,15,22
120,"Mashhad, Iran",2024-07-16,0,22,9,24
121,"Mashhad, Iran",2024-07-16,300,20,5,26
122,"Mashhad, Iran",2024-07-16,600,23,2,22
123,"Mashhad, Iran",2024-07-16,900,27,10,18
124,"Mashhad, Iran",2024-07-16,1200,30,10,15
125,"Mashhad, Iran",2024-07-16,1500,33,15,14
126,"Mashhad, Iran",2024-07-16,1800,29,27,20
127,"Mashhad, Iran",2024-07-16,2100,26,10,24
128,"Mashhad, Iran",2024-07-17,0,24,5,31
129,"Mashhad, Iran",2024-07-17,300,22,2,34
130,"Mashhad, Iran",2024-07-17,600,26,2,29
131,"Mashhad, Iran",2024-07-17,900,29,12,24
132,"Mashhad, Iran",2024-07-17,1200,32,15,21
133,"Mashhad, Iran",2024-07-17,1500,34,19,19
134,"Mashhad, Iran",2024-07-17,1800,31,31,20
135,"Mashhad, Iran",2024-07-17,2100,29,21,24
136,"Mashhad, Iran",2024-07-18,0,25,4,27
137,"Mashhad, Iran",2024-07-18,300,23,4,30
138,"Mashhad, Iran",2024-07-18,600,26,4,28
139,"Mashhad, Iran",2024-07-18,900,29,8,23
140,"Mashhad, Iran",2024-07-18,1200,32,5,19
141,"Mashhad, Iran",2024-07-18,1500,33,20,16
142,"Mashhad, Iran",2024-07-18,1800,30,34,20
143,"Mashhad, Iran",2024-07-18,2100,28,21,23
144,"Mashhad, Iran",2024-07-19,0,25,18,29
145,"Mashhad, Iran",2024-07-19,300,22,3,34
146,"Mashhad, Iran",2024-07-19,600,25,3,29
147,"Mashhad, Iran",2024-07-19,900,28,8,24
148,"Mashhad, Iran",2024-07-19,1200,31,12,19
149,"Mashhad, Iran",2024-07-19,1500,33,23,18
150,"Mashhad, Iran",2024-07-19,1800,30,31,23
151,"Mashhad, Iran",2024-07-19,2100,27,19,25
152,"Mashhad, Iran",2024-07-20,0,25,7,29
153,"Mashhad, Iran",2024-07-20,300,22,2,31
154,"Mashhad, Iran",2024-07-20,600,25,3,26
155,"Mashhad, Iran",2024-07-20,900,29,11,20
156,"Mashhad, Iran",2024-07-20,1200,32,11,16
157,"Mashhad, Iran",2024-07-20,1500,33,23,15
158,"Mashhad, Iran",2024-07-20,1800,30,26,18
159,"Mashhad, Iran",2024-07-20,2100,26,7,22
160,"Mashhad, Iran",2024-07-21,0,25,3,26
161,"Mashhad, Iran",2024-07-21,300,23,3,27
162,"Mashhad, Iran",2024-07-21,600,27,3,22
163,"Mashhad, Iran",2024-07-21,900,30,8,18
164,"Mashhad, Iran",2024-07-21,1200,34,17,15
165,"Mashhad, Iran",2024-07-21,1500,34,23,14
166,"Mashhad, Iran",2024-07-21,1800,31,23,16
167,"Mashhad, Iran",2024-07-21,2100,28,13,19
168,"Mashhad, Iran",2024-07-22,0,25,5,21
169,"Mashhad, Iran",2024-07-22,300,24,5,22
170,"Mashhad, Iran",2024-07-22,600,28,3,18
171,"Mashhad, Iran",2024-07-22,900,31,9,17
172,"Mashhad, Iran",2024-07-22,1200,35,19,15
173,"Mashhad, Iran",2024-07-22,1500,35,27,14
174,"Mashhad, Iran",2024-07-22,1800,32,26,17
175,"Mashhad, Iran",2024-07-22,2100,29,10,21
176,"Mashhad, Iran",2024-07-23,0,25,4,25
177,"Mashhad, Iran",2024-07-23,300,24,5,27
178,"Mashhad, Iran",2024-07-23,600,28,3,24
179,"Mashhad, Iran",2024-07-23,900,32,10,20
180,"Mashhad, Iran",2024-07-23,1200,35,17,17
181,"Mashhad, Iran",2024-07-23,1500,35,28,18
182,"Mashhad, Iran",2024-07-23,1800,32,24,22
183,"Mashhad, Iran",2024-07-23,2100,30,14,27
184,"Mashhad, Iran",2024-07-24,0,27,1,33
185,"Mashhad, Iran",2024-07-24,300,25,4,35
186,"Mashhad, Iran",2024-07-24,600,28,9,33
187,"Mashhad, Iran",2024-07-24,900,31,12,29
188,"Mashhad, Iran",2024-07-24,1200,34,15,21
189,"Mashhad, Iran",2024-07-24,1500,34,8,21
190,"Mashhad, Iran",2024-07-24,1800,32,26,29
191,"Mashhad, Iran",2024-07-24,2100,29,10,36
192,"Mashhad, Iran",2024-07-25,0,27,1,41
193,"Mashhad, Iran",2024-07-25,300,25,1,44
194,"Mashhad, Iran",2024-07-25,600,29,3,38
195,"Mashhad, Iran",2024-07-25,900,32,8,29
196,"Mashhad, Iran",2024-07-25,1200,35,8,21
197,"Mashhad, Iran",2024-07-25,1500,37,23,17
198,"Mashhad, Iran",2024-07-25,1800,33,30,20
199,"Mashhad, Iran",2024-07-25,2100,30,9,23
200,"Mashhad, Iran",2024-07-26,0,28,10,27
201,"Mashhad, Iran",2024-07-26,300,26,9,33
202,"Mashhad, Iran",2024-07-26,600,28,5,33
203,"Mashhad, Iran",2024-07-26,900,32,19,25
204,"Mashhad, Iran",2024-07-26,1200,35,29,21
205,"Mashhad, Iran",2024-07-26,1500,35,27,22
206,"Mashhad, Iran",2024-07-26,1800,32,22,27
207,"Mashhad, Iran",2024-07-26,2100,29,8,33
208,"Mashhad, Iran",2024-07-27,0,27,5,37
209,"Mashhad, Iran",2024-07-27,300,25,3,40
210,"Mashhad, Iran",2024-07-27,600,28,5,33
211,"Mashhad, Iran",2024-07-27,900,32,6,25
212,"Mashhad, Iran",2024-07-27,1200,36,12,18
213,"Mashhad, Iran",2024-07-27,1500,38,31,15
214,"Mashhad, Iran",2024-07-27,1800,34,20,19
215,"Mashhad, Iran",2024-07-27,2100,31,5,24
216,"Mashhad, Iran",2024-07-28,0,28,6,25
217,"Mashhad, Iran",2024-07-28,300,26,5,28
218,"Mashhad, Iran",2024-07-28,600,30,4,24
219,"Mashhad, Iran",2024-07-28,900,34,24,18
220,"Mashhad, Iran",2024-07-28,1200,37,31,16
221,"Mashhad, Iran",2024-07-28,1500,36,35,18
222,"Mashhad, Iran",2024-07-28,1800,33,32,20
223,"Mashhad, Iran",2024-07-28,2100,31,21,20
224,"Mashhad, Iran",2024-07-29,0,29,20,24
225,"Mashhad, Iran",2024-07-29,300,26,14,28
226,"Mashhad, Iran",2024-07-29,600,28,13,36
227,"Mashhad, Iran",2024-07-29,900,32,17,27
228,"Mashhad, Iran",2024-07-29,1200,35,29,21
229,"Mashhad, Iran",2024-07-29,1500,33,34,24
230,"Mashhad, Iran",2024-07-29,1800,29,23,31
231,"Mashhad, Iran",2024-07-29,2100,28,17,31
232,"Mashhad, Iran",2024-07-30,0,25,13,36
233,"Mashhad, Iran",2024-07-30,300,23,6,40
234,"Mashhad, Iran",2024-07-30,600,24,10,40
235,"Mashhad, Iran",2024-07-30,900,28,20,24
236,"Mashhad, Iran",2024-07-30,1200,31,23,21
237,"Mashhad, Iran",2024-07-30,1500,31,28,21
238,"Mashhad, Iran",2024-07-30,1800,28,19,26
239,"Mashhad, Iran",2024-07-30,2100,26,8,34
240,"Mashhad, Iran",2024-07-31,0,24,2,38
241,"Mashhad, Iran",2024-07-31,300,22,5,38
242,"Mashhad, Iran",2024-07-31,600,25,6,33
243,"Mashhad, Iran",2024-07-31,900,30,11,24
244,"Mashhad, Iran",2024-07-31,1200,34,14,18
245,"Mashhad, Iran",2024-07-31,1500,36,17,15
246,"Mashhad, Iran",2024-07-31,1800,33,19,18
247,"Mashhad, Iran",2024-07-31,2100,29,8,22
